id,purrcoins,purrgems,dailylevel,username,nickname,favpet,age,gender,bio,wallpaper,embcolor,basic,regular,elite,premium,epic,supreme,fishlevel,baits,totalfishes
781419439160688660,210,0,2,purrfectkun,Purrfection,Cat,18,Male,I am a developer!,Batman Wallpaper,15277667,0,2,0,0,0,0,1,19,21
715430911495241750,1100,0,1,theothercat.,Not set,Not set,Not set,Not set,Not set,Not Set,0,0,0,0,0,0,0,1,0,0
